SomeRank,LawSchool,GPALow,GPAMedian,GPAHigh,LSATLow,LSATMedian,LSATHigh,Accept,SFRatio,EmployedAtGrad,EmployedAt10Mos,State,PassBar,StateBar,Library,MaleFac,FemFac,MinFac,MinStu
92,Texas Tech University,3.18,3.44,3.64,152,155,157,0.44,8.5,0.365,0.782,TX,0.836,0.745,357481,0.632,0.368,0.162,0.319
92,U. of Kentucky,3.22,3.46,3.73,152,155,157,0.48,8.8,0.611,0.912,KY,0.774,0.69,850846,0.548,0.452,0.068,0.215
92,U. of Mississippi,3.11,3.46,3.65,150,155,157,0.43,7,0.37,0.706,MS,0.725,0.64,420196,0.586,0.414,0.086,0.261
92,U. of Montana,3.06,3.37,3.64,152,155,158,0.624,7.5,0.451,0.78,MT,0.848,0.826,115947,0.462,0.538,0.135,0.149
92,U. of South Carolina,3.19,3.41,3.65,153,155,157,0.498,8.3,0.425,0.797,SC,0.764,0.718,349352,0.639,0.361,0.074,0.208
102,CUNY-Queens College,3.01,3.28,3.58,150,154,158,0.319,9.1,,0.713,NY,0.862,0.757,78675,0.354,0.646,0.367,0.564
102,Gonzaga University,3.09,3.32,3.58,152,154,156,0.642,8,0.29,0.682,WA,0.72,0.741,324640,0.621,0.379,0.106,0.223
102,Louisiana State-Baton Rouge,3.16,3.46,3.73,150,154,157,0.615,10.6,0.467,0.83,LA,0.807,0.766,859586,0.771,0.229,0.084,0.22
102,Marquette University,3.16,3.42,3.61,150,154,156,0.481,8,0.476,0.77,WI,,0.771,417279,0.625,0.375,0.083,0.211
102,Michigan State University,3.24,3.52,3.73,152,154,157,0.594,8.7,0.424,0.766,MI,0.827,0.751,300418,0.597,0.403,0.116,0.295
102,Regent University,3.27,3.55,3.73,150,154,158,0.433,7.9,0.295,0.718,VA,0.941,0.755,417074,0.707,0.293,0.146,0.243
102,Seattle University,3.03,3.32,3.54,150,154,157,0.652,6.7,0.316,0.689,WA,0.765,0.741,395021,0.554,0.446,0.217,0.398
102,Syracuse University,3.13,3.38,3.61,152,154,156,0.521,8.2,0.517,0.792,NY,0.914,0.757,554068,0.646,0.354,0.125,0.313
102,U. of Arkansas-Fayetteville,3.17,3.46,3.74,151,154,157,0.558,5.9,0.483,0.802,AR,0.8,0.775,375709,0.575,0.425,0.125,0.187
102,U. of Hawaii,3.01,3.32,3.63,152,154,157,0.497,3.5,0.63,0.796,HI,0.727,0.757,293051,0.511,0.489,0.44,0.707
102,U. of Maine,3.12,3.47,3.65,150,154,157,0.533,6.9,0.518,0.627,ME,0.791,0.744,276950,0.534,0.466,0.086,0.113
102,U. of St. Thomas,3.21,3.53,3.71,150,154,158,0.605,6.3,0.377,0.803,MN,0.832,0.801,227943,0.677,0.323,0.115,0.203
102,U. of Tulsa,3.09,3.48,3.63,150,154,157,0.417,6.6,0.453,0.919,OK,0.952,0.869,392738,0.484,0.516,0.097,0.345
115,Albany Law School Union U.,3.06,3.32,3.62,151,153,156,0.546,8.1,0.536,0.8,NY,0.706,0.757,749251,0.568,0.432,0.108,0.232
115,Catholic U. of America,3.19,3.41,3.58,150,153,156,0.514,5.9,0.432,0.649,DC,0.688,0.664,471859,0.588,0.412,0.167,0.533
115,Cleveland State U. (Marshall),3.1,3.43,3.64,150,153,156,0.526,5.8,0.333,0.65,OH,0.784,0.754,505580,0.598,0.402,0.161,0.188
115,Creighton University,3.03,3.29,3.6,150,153,156,0.521,8,0.525,0.762,NE,0.729,0.817,396922,0.729,0.271,0.085,0.241
115,DePaul University,2.94,3.2,3.41,150,153,154,0.587,6.2,0.452,0.696,IL,0.703,0.79,427987,0.544,0.456,0.204,0.369
115,Drake University,3.18,3.46,3.75,151,153,156,0.592,5.7,0.432,0.747,IA,0.815,0.858,359454,0.589,0.411,0.078,0.179
115,Hofstra University,3.11,3.42,3.67,148,153,155,0.481,7.5,0.489,0.81,NY,0.682,0.757,559291,0.615,0.385,0.098,0.373
115,Indiana U.-Indianapolis,3.14,3.45,3.66,149,153,156,0.596,6.3,0.335,0.77,IN,0.693,0.729,231044,0.543,0.457,0.093,0.214
115,New York Law School,3.13,3.36,3.58,150,153,155,0.524,9.3,0.481,0.743,NY,0.595,0.757,574810,0.572,0.428,0.117,0.402
115,Southwestern Univ.,2.98,3.22,3.49,150,153,155,0.461,8.1,0.193,0.586,CA,0.523,0.583,542873,0.576,0.424,0.266,0.522
115,Suffolk University,3.13,3.36,3.57,149,153,156,0.652,9,0.372,0.681,MA,0.636,0.773,215088,0.569,0.431,0.12,0.251
115,U. at Buffalo,3.14,3.41,3.63,150,153,156,0.579,5.5,0.368,0.711,NY,0.775,0.757,478990,0.546,0.454,0.085,0.289
115,U. of Akron,3.04,3.28,3.56,151,153,156,0.485,9,0.425,0.717,OH,0.708,0.754,201220,0.616,0.384,0.11,0.192
115,U. of Idaho,2.93,3.25,3.55,148,153,155,0.635,6.3,,0.667,ID,0.734,0.793,369718,0.575,0.425,0.11,0.245
115,U. of Louisville (Brandeis),3.13,3.37,3.61,151,153,156,0.651,9.4,0.521,0.781,KY,0.71,0.69,422987,0.677,0.323,0.129,0.146
115,U. of Missouri-Kansas City,3.15,3.41,3.76,151,153,156,0.474,6,0.333,0.83,MO,0.845,0.857,363244,0.631,0.369,0.081,0.224
115,U. of New Mexico,3.09,3.4,3.64,151,153,156,0.48,5.5,0.557,0.792,NM,0.904,0.857,457167,0.491,0.509,0.33,0.548
115,U. of the Pacific (McGeorge),3.06,3.32,3.57,148,153,156,0.595,6.9,0.282,0.595,CA,0.61,0.583,497411,0.657,0.343,0.114,0.44
115,U. of Wyoming,3.08,3.38,3.67,150,153,156,0.549,13,0.414,0.729,WY,0.804,0.727,351468,0.564,0.436,0.154,0.159
115,Washburn University,2.98,3.35,3.69,150,153,155,0.578,6.4,0.381,0.722,KS,0.742,0.815,418248,0.513,0.487,0.09,0.193
115,West Virginia U.,3.04,3.38,3.64,151,153,155,0.615,6.9,0.434,0.783,WV,0.773,0.75,142060,0.579,0.421,0.088,0.108
136,Campbell University,3.06,3.3,3.56,150,152,155,0.591,8.2,0.314,0.693,NC,0.824,0.653,207106,0.681,0.319,0.121,0.17
136,Duquesne University,3.12,3.38,3.68,150,152,154,0.632,7.3,0.381,0.794,PA,0.878,0.796,336167,0.649,0.351,0.096,0.106
136,Liberty University,3.08,3.36,3.68,149,152,156,0.588,5.6,0.293,0.69,VA,0.842,0.755,285322,0.744,0.256,0.231,0.242
136,Loyola U. New Orleans,2.89,3.14,3.48,148,152,155,0.596,7.3,0.23,0.607,LA,0.854,0.766,821560,0.604,0.396,0.198,0.395
136,Mercer University (GA),2.98,3.31,3.58,149,152,154,0.558,9,0.44,0.72,GA,0.794,0.718,322610,0.681,0.319,0.083,0.256
136,Quinnipiac University,3.12,3.47,3.67,149,152,154,0.645,6,0.393,0.726,CT,0.823,0.764,450346,0.622,0.378,0.061,0.236
136,U. of Baltimore,2.91,3.25,3.49,150,152,155,0.561,6.5,0.594,0.728,MD,0.673,0.664,200809,0.578,0.422,0.149,0.41
136,U. of Detroit Mercy,3.06,3.27,3.51,149,152,155,0.561,11,,0.477,MI,0.736,0.751,385270,0.568,0.432,0.126,0.697
136,U. of Memphis,2.93,3.41,3.63,148,152,155,0.524,8,0.354,0.747,TN,0.811,0.744,277082,0.69,0.31,0.121,0.229
136,U. of San Francisco,2.96,3.19,3.42,151,152,155,0.555,5.9,0.255,0.608,CA,0.518,0.583,277275,0.554,0.446,0.214,0.589
136,U. of Toledo,3.18,3.44,3.7,147,152,154,0.618,6.5,0.395,0.697,OH,0.689,0.754,331983,0.63,0.37,0.109,0.175
136,Willamette University,2.71,3.13,3.45,149,152,155,0.754,8.6,0.32,0.7,OR,0.791,0.818,297661,0.582,0.418,0.091,0.305
148,Hamline University,2.86,3.14,3.5,147,151,155,0.595,7.6,0.238,0.636,MN,0.684,0.801,341010,0.509,0.491,0.107,0.3
148,Howard University,3.01,3.24,3.54,149,151,155,0.353,8.1,0.612,0.699,DC,0.931,0.757,598792,0.494,0.506,0.823,0.988
148,Ohio Northern University,3.08,3.52,3.72,147,151,152,0.422,6.1,,0.769,OH,0.87,0.754,459494,0.531,0.469,0.094,0.231
148,Pace University,2.99,3.3,3.53,149,151,153,0.503,7.6,0.435,0.847,NY,0.758,0.757,364191,0.545,0.455,0.124,0.324
148,Samford U. (Cumberland),3.1,3.31,3.57,149,151,154,0.741,9.8,0.406,0.681,AL,0.763,0.696,327072,0.679,0.321,0.125,0.191
148,South Texas College of Law,2.84,3.1,3.36,148,151,154,0.607,11,0.238,0.621,TX,0.679,0.745,594605,0.627,0.373,0.155,0.52
148,St. Mary's University,2.89,3.19,3.48,148,151,154,0.558,9.1,0.218,0.701,TX,0.708,0.745,418406,0.64,0.36,0.246,0.595
148,U. of Arkansas-Little Rock,3.06,3.3,3.59,147,151,155,0.528,6.4,0.083,0.708,AR,0.775,0.775,299974,0.565,0.435,0.185,0.215
148,Vermont Law School,2.8,3.25,3.56,147,151,156,0.764,4.2,0.298,0.669,VT,0.686,0.688,246552,0.565,0.435,0.06,0.339
157,California Western,2.91,3.17,3.39,148,150,152,0.596,9.5,,0.645,CA,0.595,0.583,369879,0.565,0.435,0.137,0.53
157,Elon University,3.02,3.26,3.54,147,150,153,0.359,8,0.165,0.473,NC,0.469,0.653,121089,0.514,0.486,0.111,0.292
157,Florida Coastal,2.83,3.14,3.36,147,150,153,0.378,7.8,,0.466,FL,0.425,0.679,137164,0.441,0.559,0.191,0.435
157,Golden Gate University,2.65,3.03,3.3,147,150,152,0.613,6.2,,0.506,CA,0.476,0.583,350762,0.492,0.508,0.205,0.655
157,New England Sch. of Law,2.82,3.16,3.43,147,150,153,0.683,,,0.547,MA,0.743,0.773,321654,,,,0.323
157,Northern Kentucky U.,2.95,3.25,3.53,147,150,153,0.68,11,,0.613,KY,0.614,0.754,339162,0.742,0.258,0.091,0.132
157,Nova Southeastern U.,2.79,3.11,3.34,148,150,153,0.47,8.1,0.23,0.624,FL,0.688,0.679,755644,0.557,0.443,0.237,0.564
157,Southern Illinois U.,2.7,3.1,3.48,147,150,151,0.504,9.6,,0.586,IL,0.643,0.79,436647,0.489,0.511,0.111,0.23
157,U. of South Dakota,3.01,3.3,3.65,147,150,153,0.648,8,0.537,0.791,SD,0.517,0.682,146009,0.697,0.303,0.121,0.142
166,Capital University,3.01,3.25,3.54,147,149,152,0.644,8,0.368,0.658,OH,0.694,0.754,265501,0.675,0.325,0.108,0.213
166,Faulkner University (Jones),2.94,3.13,3.43,146,149,151,0.5,7.7,0.247,0.675,AL,0.526,0.696,379011,0.649,0.351,0.108,0.308
166,John Marshall,2.8,3.2,3.5,146,149,152,0.65,8,0.435,0.716,IL,0.712,0.79,255725,0.61,0.39,0.195,0.427
166,Lincoln Memorial U.,2.73,3.07,3.51,147,149,152,0.48,10.9,0.765,0.765,TN,0.722,0.744,8694,0.656,0.344,0.156,0.234
166,Northern Illinois University,2.75,3.09,3.44,148,149,152,0.534,7.3,,0.757,IL,0.783,0.79,266103,0.511,0.489,0.178,0.315
166,Oklahoma City University,2.87,3.2,3.55,146,149,152,0.634,12,,0.748,OK,0.767,0.869,169965,0.667,0.333,0.13,0.419
166,U. of Dayton,3.03,3.29,3.56,146,149,152,0.519,6.9,0.25,0.635,OH,0.673,0.754,209192,0.609,0.391,0.125,0.279
173,Ave Maria School of Law,2.73,3.05,3.34,145,148,151,0.551,9,,0.494,FL,0.534,0.679,88810,0.667,0.333,0.095,0.369
173,Barry University,2.66,3.02,3.38,146,148,151,0.575,,,0.617,FL,,,,,,,
173,Concordia University,2.79,3.04,3.52,144,148,151,0.591,5.2,0.208,0.75,ID,0.833,0.793,58516,0.513,0.487,0.128,0.267
173,Mississippi College,2.7,3.05,3.52,145,148,151,0.625,8.4,0.557,0.557,MS,0.571,0.64,403959,0.563,0.437,0.169,0.393
173,Roger Williams University,3,3.28,3.51,145,148,151,0.693,7.8,,0.639,RI,0.78,0.773,290798,0.553,0.447,0.085,0.344
173,St. Thomas University,2.77,3.1,3.41,146,148,151,0.538,8,0.276,0.276,FL,0.596,0.679,439683,0.649,0.351,0.272,0.833
173,Touro College (Fuchsberg),2.71,3,3.26,146,148,150,0.557,10,,0.752,NY,0.608,0.757,460327,0.606,0.394,0.106,0.407
173,U. of Massachusetts,2.89,3.19,3.44,147,148,152,0.569,7.3,0.306,0.653,MA,0.756,0.773,166293,0.575,0.425,0.075,0.376
173,U. of North Dakota,2.86,3.17,3.5,145,148,152,0.64,13.6,,0.688,ND,0.723,0.712,286724,0.417,0.583,0.125,0.332
173,Western New England,2.82,3.29,3.62,146,148,152,0.587,6,,0.564,MA,0.545,0.764,364161,0.592,0.408,0.113,0.329
173,Western State University,2.81,3.01,3.4,146,148,151,0.527,11.1,,0.521,CA,0.583,0.583,14587,0.557,0.443,0.213,0.63
173,Widener (Delaware),2.89,3.17,3.48,147,148,151,0.619,10.9,0.312,0.596,DE,0.66,0.796,340257,0.493,0.507,0.093,0.264
185,Charleston School of Law,2.81,3.15,3.45,145,147,150,0.556,,,0.527,SC,0.538,0.718,35244,0.595,0.405,0.025,0.306
185,Thomas Jefferson,2.53,2.8,3.09,145,147,149,0.404,9.4,0.086,0.322,CA,0.292,0.583,265179,0.534,0.466,0.17,0.62
185,U. of the District of Columbia,2.72,2.92,3.17,145,147,150,0.354,,0.521,0.634,DC,0.385,0.701,,0.433,0.567,0.448,0.745
185,Widener (Commonwealth),2.83,3.11,3.45,145,147,148,0.621,9.1,0.23,0.672,PA,0.714,0.796,196222,0.679,0.321,0.038,0.253
189,Florida A&M University,2.79,3.09,3.36,145,146,149,0.491,7,,0.511,FL,0.496,0.679,425707,0.5,0.5,0.709,0.711
189,North Carolina Central U.,3.07,3.26,3.5,144,146,150,0.409,7.1,0.162,0.428,NC,0.672,0.653,380920,0.423,0.577,0.526,0.647
191,Appalachian School of Law,2.64,3.05,3.32,143,144,147,0.626,,,0.595,VA,,,,,,,0.308
191,Southern University,2.55,2.83,3.13,142,144,146,0.652,17,,0.488,LA,0.578,0.766,,0.522,0.478,0.752,0.683
191,Texas Southern University,2.73,3.03,3.37,143,144,147,0.354,6.5,,0.656,TX,0.6,0.745,,0.44,0.56,0.791,0.85
194,Western Michigan (Cooley),2.64,3.02,3.33,139,142,147,0.861,6.1,,0.472,MI,0.439,0.757,753000,0.655,0.345,0.142,0.525
195,Arizona Summit Law School,,,,,,,,,,,AZ,,,,,,,
196,Atlanta's John Marshall Law,,,,,,,,,,,GA,,,,,,,
197,Charlotte School of Law,,,,,,,,,,,NC,,,,,,,
198,Mitchell Hamline,,,,,,,,,,,MN,,,,,,,
199,Valparaiso University,,,,,,,,,,,IN,,,,,,,
200,Whittier Law School,,,,,,,,,,,CA,,,,,,,