"schoolid","schoolname","calendaryear","numapps","numftapps","numptapps","numoffers","numftoffers","numptoffers","nummatriculants","numftmatriculants","numptmatriculants","otherfirstyear","totalfirstyear","ftfirstyear","ptfirstyear","uggpa75","ftuggpa75","ptuggpa75","uggpa50","ftuggpa50","ptuggpa50","uggpa25","ftuggpa25","ptuggpa25","uggpaexcl","ftuggpaexcl","ptuggpaexcl","lsat75","ftlsat75","ptlsat75","lsat50","ftlsat50","ptlsat50","lsat25","ftlsat25","ptlsat25","lsatexcl","ftlsatexcl","ptlsatexcl","gmatenrolled","actenrolled","greenrolled","satenrolled","gmat75","gmat50","gmat25","act75","act50","act25","greverbal75","greverbal50","greverbal25","grequant75","grequant50","grequant25","greanalytical75","greanalytical50","greanalytical25","sat75","sat50","sat25"
"00270711","Columbia University","2019","7193","","","1141","","","329","","","35","364","364","0","3.89","3.89","","3.80","3.80","","3.69","3.69","","17.00","17.00","","173","173","","172","172","","169","169","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"00271101","Cornell University","2019","4098","","","874","","","193","","","5","198","198","0","3.91","3.91","","3.81","3.81","","3.71","3.71","","28.00","28.00","","169","169","","168","168","","165","165","","6","6","","","","","","","","","","","","","","","","","","","","","","",""
"00272203","Fordham University","2019","5285","","","1440","","","408","","","8","416","357","59","3.76","3.76","3.71","3.64","3.65","3.58","3.43","3.45","3.34","11.00","6.00","5.00","166","166","163","164","164","161","161","162","156","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00273200","Hofstra University","2019","2814","","","1360","","","257","","","5","262","249","13","3.73","3.74","3.46","3.53","3.55","3.29","3.19","3.23","3.11","2.00","2.00","0.00","156","156","158","154","154","156","150","150","151","1","0","1","","","","","","","","","","","","","","","","","","","","","",""
"00278300","New York Law School","2019","2894","","","1455","","","384","","","1","385","340","45","3.59","3.59","3.52","3.35","3.35","3.40","3.11","3.11","3.11","9.00","7.00","2.00","155","155","155","153","153","153","150","150","150","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00278500","New York University","2019","7959","","","1719","","","416","","","11","427","427","0","3.89","3.89","","3.80","3.80","","3.63","3.63","","7.00","7.00","","172","172","","170","170","","167","167","","5","5","","","","","","","","","","","","","","","","","","","","","","",""
"00279102","Pace University","2019","1763","","","852","","","260","","","3","263","227","36","3.55","3.59","3.48","3.28","3.28","3.22","3.00","3.01","2.87","6.00","3.00","3.00","153","153","153","151","151","149","149","149","147","1","0","1","","","","","","","","","","","","","","","","","","","","","",""
"00282300","St. John's University","2019","2384","","","1147","","","250","","","4","254","240","14","3.78","3.77","3.83","3.62","3.62","3.56","3.32","3.32","3.11","5.00","2.00","3.00","161","161","161","159","159","160","153","153","152","13","12","1","","","","","","","","","","","","","","","","","","","","","",""
"00283700","University of Buffalo-SUNY","2019","859","","","402","","","137","","","4","141","141","0","3.75","3.75","","3.49","3.49","","3.19","3.19","","2.00","2.00","","157","157","","154","154","","151","151","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"00288200","Syracuse University","2019","2086","","","963","","","265","","","1","266","266","0","3.61","3.61","","3.33","3.33","","3.04","3.04","","2.00","2.00","","157","157","","154","154","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00288600","Albany Law School of Union University","2019","1205","","","633","","","175","","","1","176","176","0","3.64","3.64","","3.37","3.37","","3.07","3.07","","1.00","1.00","","156","156","","153","153","","151","151","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00290301","Cardozo School of Law","2019","2999","","","1265","","","306","","","5","311","243","68","3.74","3.75","3.71","3.60","3.60","3.57","3.39","3.39","3.35","10.00","8.00","2.00","163","164","162","162","162","158","157","158","155","1","1","0","","","","","","","","","","","","","","","","","","","","","",""
"00291300","Campbell University","2019","683","","","418","","","167","","","7","174","174","0","3.54","3.54","","3.33","3.33","","3.08","3.08","","1.00","1.00","","155","155","","153","153","","150","150","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00292002","Duke University","2019","5125","","","969","","","214","","","5","219","219","0","3.87","3.87","","3.78","3.78","","3.65","3.65","","9.00","9.00","","170","170","","169","169","","167","167","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00292701","Elon University","2019","800","","","372","","","140","","","4","144","144","0","3.53","3.53","","3.20","3.20","","2.99","2.99","","0.00","0.00","","152","152","","149","149","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00295000","North Carolina Central University","2019","767","","","310","","","140","","","2","142","128","14","3.48","3.47","3.67","3.24","3.20","3.33","2.94","2.90","3.23","0.00","0.00","0.00","149","149","155","146","146","150","144","144","146","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00297400","University of North Carolina","2019","1293","","","438","","","183","","","3","186","186","0","3.77","3.77","","3.63","3.63","","3.46","3.46","","3.00","3.00","","162","162","","161","161","","158","158","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00297805","Wake Forest University","2019","2121","","","858","","","215","","","2","217","217","0","3.81","3.81","","3.68","3.68","","3.50","3.50","","3.00","3.00","","163","163","","162","162","","156","156","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"00300500","University of North Dakota","2019","309","","","188","","","84","","","0","84","84","0","3.66","3.66","","3.30","3.30","","2.97","2.97","","2.00","2.00","","152","152","","149","149","","145","145","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00302302","Capital University","2019","580","","","432","","","157","","","7","164","128","36","3.60","3.61","3.25","3.22","3.29","3.02","2.89","2.99","2.70","1.00","1.00","0.00","155","154","156","150","150","150","147","147","147","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00302400","Case Western Reserve University","2019","975","","","456","","","115","","","4","119","119","0","3.76","3.76","","3.63","3.63","","3.36","3.36","","2.00","2.00","","161","161","","159","159","","156","156","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00303200","Cleveland State University","2019","698","","","335","","","143","","","1","144","115","29","3.69","3.70","3.56","3.43","3.47","3.34","3.23","3.24","3.02","1.00","1.00","0.00","157","157","155","154","154","153","150","150","152","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00308900","Ohio Northern University","2019","373","","","142","","","49","","","1","50","50","0","3.67","3.67","","3.31","3.31","","2.95","2.95","","0.00","0.00","","155","155","","151","151","","147","147","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00309000","Ohio State University","2019","1636","","","663","","","191","","","2","193","193","0","3.86","3.86","","3.76","3.76","","3.61","3.61","","4.00","4.00","","163","163","","161","161","","158","158","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00312300","University of Akron","2019","664","","","331","","","110","","","1","111","87","24","3.67","3.67","3.62","3.45","3.45","3.41","3.05","3.07","2.95","0.00","0.00","0.00","155","155","155","153","152","153","151","150","152","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00312500","University of Cincinnati","2019","891","","","450","","","135","","","0","135","135","0","3.82","3.82","","3.64","3.64","","3.39","3.39","","1.00","1.00","","159","159","","157","157","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00312700","University of Dayton","2019","1070","","","419","","","119","","","1","120","100","20","3.67","3.68","3.56","3.38","3.31","3.39","3.05","3.02","3.26","3.00","2.00","1.00","153","153","155","150","149","153","147","146","152","3","1","2","","","","","","","","","","","","","","","","","","","","","",""
"00313100","University of Toledo","2019","453","","","298","","","104","","","0","104","91","13","3.62","3.60","3.75","3.31","3.31","3.22","3.00","2.99","3.00","0.00","0.00","0.00","155","154","157","152","152","154","148","148","153","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00316614","Oklahoma City University","2019","633","","","387","","","168","","","2","170","170","0","3.50","3.50","","3.29","3.29","","2.95","2.95","","0.00","0.00","","152","152","","149","149","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00318400","University of Oklahoma","2019","849","","","372","","","167","","","1","168","168","0","3.78","3.78","","3.63","3.63","","3.34","3.34","","2.00","2.00","","159","159","","157","157","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00318500","University of Tulsa","2019","621","","","357","","","118","","","0","118","118","0","3.63","3.63","","3.42","3.42","","3.13","3.13","","1.00","1.00","","156","156","","154","154","","151","151","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00319100","Concordia Law School","2019","381","","","233","","","89","","","0","89","78","11","3.45","3.44","3.61","3.22","3.18","3.36","2.85","2.84","2.98","0.00","0.00","0.00","152","151","158","148","148","149","146","146","146","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00319700","Lewis and Clark College","2019","1216","","","731","","","177","","","3","180","159","21","3.67","3.67","3.54","3.46","3.48","3.23","3.19","3.21","2.84","3.00","2.00","1.00","161","161","161","158","158","158","155","155","152","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00322300","University of Oregon","2019","1004","","","591","","","152","","","1","153","153","0","3.65","3.65","","3.51","3.51","","3.26","3.26","","0.00","0.00","","160","160","","157","157","","154","154","","2","2","","","","","","","","","","","","","","","","","","","","","","",""
"00322700","Willamette University","2019","648","","","444","","","121","","","5","126","126","0","3.51","3.51","","3.16","3.16","","2.77","2.77","","2.00","2.00","","156","156","","153","153","","149","149","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00325600","Drexel University","2019","1642","","","657","","","155","","","5","160","160","0","3.67","3.67","","3.47","3.47","","3.15","3.15","","0.00","0.00","","158","158","","157","157","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00325800","Duquesne University","2019","800","","","462","","","151","","","1","152","125","27","3.69","3.71","3.63","3.40","3.43","3.25","3.17","3.24","2.93","0.00","0.00","0.00","155","156","154","152","153","152","150","151","150","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00331301","Widener University-Delaware","2019","1019","","","652","","","232","","","5","237","196","41","3.46","3.45","3.53","3.21","3.21","3.20","2.90","2.88","2.94","4.00","4.00","0.00","151","151","150","149","149","148","147","147","146","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00331302","Widener Commonwealth","2019","561","","","382","","","109","","","2","111","93","18","3.47","3.47","3.62","3.10","3.11","3.03","2.84","2.83","2.84","2.00","2.00","0.00","151","151","154","149","149","147","146","146","146","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00332900","Pennsylvania State University-Penn State Law","2019","1593","","","594","","","133","","","1","134","134","0","3.80","3.80","","3.65","3.65","","3.34","3.34","","4.00","4.00","","161","161","","160","160","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00332923","Pennsylvania State University-Dickinson School of Law","2019","1027","","","422","","","76","","","2","78","78","0","3.73","3.73","","3.40","3.40","","3.05","3.05","","5.00","5.00","","162","162","","161","161","","158","158","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00337101","Temple University","2019","2350","","","839","","","232","","","6","238","199","39","3.72","3.73","3.62","3.56","3.59","3.40","3.28","3.29","3.20","8.00","6.00","2.00","163","164","160","161","161","157","158","159","154","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00337800","University of Pennsylvania","2019","6483","","","941","","","235","","","14","249","249","0","3.96","3.96","","3.89","3.89","","3.54","3.54","","0.00","0.00","","171","171","","170","170","","163","163","","9","9","","","","","","","","","","","","","","","","","","","","","","",""
"00337900","University of Pittsburgh","2019","1196","","","409","","","120","","","0","120","120","0","3.71","3.71","","3.49","3.49","","3.22","3.22","","2.00","2.00","","160","160","","158","158","","155","155","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00338801","Villanova University","2019","2048","","","700","","","182","","","2","184","184","0","3.78","3.78","","3.60","3.60","","3.37","3.37","","2.00","2.00","","161","161","","159","159","","154","154","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00341001","Roger Williams University","2019","964","","","630","","","167","","","2","169","169","0","3.54","3.54","","3.21","3.21","","2.93","2.93","","2.00","2.00","","152","152","","149","149","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00344800","University of South Carolina","2019","1320","","","682","","","209","","","3","212","212","0","3.67","3.67","","3.43","3.43","","3.23","3.23","","0.00","0.00","","158","158","","155","155","","153","153","","2","2","","","","","","","","","","","","","","","","","","","","","","",""
"00347400","University of South Dakota","2019","309","","","199","","","84","","","0","84","84","0","3.78","3.78","","3.44","3.44","","3.15","3.15","","0.00","0.00","","154","154","","152","152","","147","147","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"00347900","Belmont University","2019","774","","","420","","","142","","","0","142","142","0","3.84","3.84","","3.63","3.63","","3.28","3.28","","0.00","0.00","","158","158","","156","156","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00350200","Lincoln Memorial University","2019","347","","","191","","","101","","","0","101","101","0","3.59","3.59","","3.24","3.24","","2.95","2.95","","0.00","0.00","","152","152","","149","149","","147","147","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00350900","University of Memphis","2019","645","","","359","","","131","","","1","132","132","0","3.55","3.55","","3.32","3.32","","2.93","2.93","","0.00","0.00","","155","155","","152","152","","148","148","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00353000","University of Tennessee","2019","1042","","","358","","","126","","","0","126","126","0","3.85","3.85","","3.65","3.65","","3.32","3.32","","0.00","0.00","","161","161","","159","159","","156","156","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00353500","Vanderbilt University","2019","5294","","","1160","","","168","","","6","174","174","0","3.87","3.87","","3.80","3.80","","3.56","3.56","","1.00","1.00","","168","168","","167","167","","162","162","","2","2","","","","","","","","","","","","","","","","","","","","","","",""
"00354500","Baylor University","2019","2705","","","959","","","169","","","0","169","169","0","3.72","3.72","","3.60","3.60","","3.38","3.38","","2.00","2.00","","161","161","","160","160","","157","157","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00361300","Southern Methodist University","2019","1757","","","833","","","269","","","4","273","273","0","3.83","3.83","","3.70","3.70","","3.33","3.33","","1.00","1.00","","163","163","","161","161","","155","155","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00362300","St. Mary's University","2019","1372","","","741","","","249","","","8","257","233","24","3.50","3.50","3.26","3.24","3.26","3.04","2.87","2.88","2.77","1.00","1.00","0.00","154","154","152","151","152","149","149","150","148","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00364200","Texas Southern University","2019","1441","","","406","","","175","","","5","180","180","0","3.33","3.33","","3.07","3.07","","2.78","2.78","","1.00","1.00","","147","147","","145","145","","143","143","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00364400","Texas Tech University","2019","1142","","","505","","","142","","","5","147","147","0","3.60","3.60","","3.42","3.42","","3.20","3.20","","0.00","0.00","","157","157","","155","155","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00364500","Texas A&M University","2019","2280","","","655","","","170","","","3","173","171","2","3.80","3.80","0.00","3.62","3.62","0.00","3.34","3.34","0.00","1.00","1.00","0.00","160","160","0","159","159","0","154","154","0","6","6","0","","","","","","","","","","","","","","","","","","","","","",""
"00365200","University of Houston","2019","2628","","","921","","","207","","","2","209","175","34","3.75","3.76","3.73","3.61","3.61","3.58","3.33","3.32","3.39","4.00","4.00","0.00","161","162","160","160","160","158","156","157","153","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00365800","University of Texas at Austin","2019","5803","","","1017","","","280","","","8","288","288","0","3.89","3.89","","3.72","3.72","","3.48","3.48","","6.00","6.00","","169","169","","168","168","","165","165","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00367000","Brigham Young University","2019","456","","","187","","","119","","","4","123","123","0","3.92","3.92","","3.82","3.82","","3.60","3.60","","1.00","1.00","","167","167","","164","164","","160","160","","16","16","","","","","","","","","","","","","","","","","","","","","","",""
"00367500","University of Utah","2019","761","","","311","","","102","","","2","104","104","0","3.80","3.80","","3.60","3.60","","3.43","3.43","","0.00","0.00","","162","162","","160","160","","157","157","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00370500","William and Mary Law School","2019","3291","","","1001","","","240","","","0","240","240","0","3.89","3.89","","3.76","3.76","","3.46","3.46","","5.00","5.00","","164","164","","163","163","","159","159","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00374400","University of Richmond","2019","1424","","","600","","","134","","","1","135","135","0","3.70","3.70","","3.60","3.60","","3.27","3.27","","0.00","0.00","","162","162","","161","161","","155","155","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00374500","University of Virginia","2019","5645","","","829","","","303","","","32","335","335","0","3.96","3.96","","3.90","3.90","","3.47","3.47","","1.00","1.00","","172","172","","170","170","","164","164","","6","6","","","","","","","","","","","","","","","","","","","","","","",""
"00374900","George Mason University","2019","2964","","","618","","","139","","","0","139","123","16","3.86","3.88","3.79","3.75","3.78","3.70","3.39","3.37","3.55","1.00","0.00","1.00","165","165","166","164","164","163","158","158","154","2","2","0","","","","","","","","","","","","","","","","","","","","","",""
"00376800","Washington and Lee University","2019","2531","","","848","","","120","","","4","124","124","0","3.73","3.73","","3.64","3.64","","3.43","3.43","","3.00","3.00","","164","164","","163","163","","157","157","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00377800","Gonzaga University","2019","883","","","517","","","137","","","2","139","139","0","3.63","3.63","","3.41","3.41","","3.16","3.16","","0.00","0.00","","156","156","","154","154","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00379001","Seattle University","2019","1381","","","852","","","226","","","0","226","193","33","3.57","3.60","3.51","3.37","3.39","3.19","3.08","3.12","2.97","5.00","3.00","2.00","157","158","155","155","155","152","151","151","150","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00379800","University of Washington","2019","2555","","","711","","","158","","","6","164","164","0","3.79","3.79","","3.68","3.68","","3.50","3.50","","6.00","6.00","","164","164","","162","162","","158","158","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00382700","West Virginia University","2019","496","","","292","","","113","","","2","115","115","0","3.70","3.70","","3.45","3.45","","3.15","3.15","","0.00","0.00","","157","157","","154","154","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00386300","Marquette University","2019","1201","","","567","","","197","","","0","197","191","6","3.63","3.63","0.00","3.44","3.44","0.00","3.25","3.25","0.00","4.00","3.00","1.00","156","156","0","154","154","0","150","150","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00389500","University of Wisconsin","2019","1704","","","750","","","218","","","5","223","223","0","3.79","3.79","","3.65","3.65","","3.42","3.42","","6.00","6.00","","164","164","","162","162","","156","156","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00393200","University of Wyoming","2019","390","","","212","","","73","","","0","73","73","0","3.55","3.55","","3.32","3.32","","3.11","3.11","","0.00","0.00","","154","154","","152","152","","150","150","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00393600","Pontifical Catholic University of P.R.","2019","174","","","113","","","91","","","0","91","59","32","3.72","3.65","3.76","3.37","3.35","3.40","3.15","3.20","3.07","0.00","0.00","0.00","137","138","135","135","135","135","132","129","133","39","24","15","","","","","","","","","","","","","","","","","","","","","",""
"00393801","Inter American University of Puerto Rico","2019","404","","","264","","","184","","","0","184","132","52","3.55","3.55","3.61","3.35","3.35","3.34","3.06","3.04","3.07","2.00","1.00","1.00","142","143","142","140","140","138","136","136","135","30","16","14","","","","","","","","","","","","","","","","","","","","","",""
"00394200","University of Puerto Rico","2019","301","","","152","","","137","","","1","138","103","35","3.84","3.87","3.78","3.63","3.66","3.49","3.31","3.40","3.24","2.00","1.00","1.00","149","149","146","145","145","143","142","143","142","25","19","6","","","","","","","","","","","","","","","","","","","","","",""
"00394700","University of California-Hastings","2019","3271","","","1392","","","340","","","6","346","346","0","3.62","3.62","","3.45","3.45","","3.20","3.20","","4.00","4.00","","160","160","","158","158","","154","154","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00396900","University of Minnesota","2019","2129","","","833","","","236","","","4","240","240","0","3.87","3.87","","3.75","3.75","","3.48","3.48","","17.00","17.00","","166","166","","165","165","","161","161","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00497700","South Texas College of Law","2019","1574","","","811","","","350","","","6","356","308","48","3.38","3.39","3.34","3.15","3.15","3.08","2.85","2.90","2.60","4.00","2.00","2.00","155","155","155","152","152","152","150","150","150","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00891600","New England Law | Boston","2019","2247","","","1643","","","350","","","1","351","274","77","3.58","3.59","3.57","3.25","3.26","3.17","2.90","2.95","2.72","10.00","5.00","5.00","155","155","153","152","153","149","148","149","145","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00927500","Northern Kentucky University","2019","485","","","333","","","126","","","3","129","98","31","3.53","3.57","3.48","3.28","3.24","3.34","3.00","3.02","2.92","1.00","0.00","1.00","154","154","156","151","151","154","148","148","148","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00963500","Florida International University","2019","1665","","","476","","","152","","","0","152","135","17","3.77","3.77","3.66","3.61","3.61","3.60","3.23","3.25","3.21","0.00","0.00","0.00","158","158","160","157","157","157","155","155","150","1","0","1","","","","","","","","","","","","","","","","","","","","","",""
"01014205","Touro College","2019","1229","","","676","","","196","","","1","197","145","52","3.39","3.41","3.25","3.10","3.15","3.04","2.75","2.78","2.68","1.00","1.00","0.00","151","151","150","149","149","148","147","147","147","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"01014913","Pepperdine University","2019","3006","","","896","","","187","","","4","191","191","0","3.79","3.79","","3.66","3.66","","3.29","3.29","","3.00","3.00","","163","163","","161","161","","157","157","","7","7","","","","","","","","","","","","","","","","","","","","","","",""
"01039501","University of San Diego","2019","2875","","","1167","","","248","","","0","248","234","14","3.68","3.69","3.59","3.57","3.59","3.25","3.29","3.30","3.12","2.00","2.00","0.00","161","161","159","159","159","157","155","155","153","3","3","0","","","","","","","","","","","","","","","","","","","","","",""
"01085400","Thomas Jefferson School of Law","2019","903","","","422","","","48","","","1","49","48","1","3.12","3.12","0.00","2.87","2.87","0.00","2.52","2.52","0.00","0.00","0.00","0.00","150","150","0","149","149","0","147","147","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"01164901","Loyola Marymount University-Los Angeles","2019","3802","","","1254","","","324","","","3","327","281","46","3.73","3.76","3.59","3.57","3.58","3.44","3.30","3.35","3.00","1.00","1.00","0.00","162","162","161","160","160","158","157","158","155","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"01193400","Vermont Law School","2019","786","","","571","","","150","","","1","151","151","0","3.51","3.51","","3.24","3.24","","2.88","2.88","","3.00","3.00","","154","154","","150","150","","145","145","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"01262700","Western Michigan University","2019","1398","","","768","","","291","","","1","292","26","266","3.32","3.42","3.31","2.95","3.11","2.93","2.62","2.91","2.62","5.00","1.00","4.00","150","152","149","145","148","144","141","145","141","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"01310300","California Western School of Law","2019","1614","","","866","","","259","","","16","275","242","33","3.44","3.48","3.26","3.26","3.30","3.06","2.99","3.03","2.85","4.00","4.00","0.00","153","153","154","151","151","152","149","149","149","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"02053000","Liberty University","2019","347","","","190","","","81","","","3","84","84","0","3.76","3.76","","3.37","3.37","","3.02","3.02","","0.00","0.00","","154","154","","152","152","","149","149","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"02179937","Western State College of Law","2019","66","","","27","","","22","","","1","23","17","6","3.40","3.40","0.00","3.17","3.17","0.00","2.68","2.68","0.00","0.00","0.00","0.00","152","152","0","148","148","0","147","147","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"03091300","Regent University","2019","427","","","268","","","102","","","5","107","105","2","3.69","3.69","0.00","3.45","3.45","0.00","3.12","3.12","0.00","0.00","0.00","0.00","157","157","0","155","155","0","150","150","0","3","3","0","","","","","","","","","","","","","","","","","","","","","",""
"03173300","Atlanta's John Marshall Law School","2019","764","","","281","","","69","","","1","70","51","19","3.48","3.45","3.57","3.13","3.09","3.23","2.65","2.65","2.66","1.00","1.00","0.00","152","152","153","150","150","150","147","147","147","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"03191300","City University of New York","2019","1649","","","622","","","211","","","10","221","149","72","3.63","3.66","3.56","3.36","3.38","3.29","3.11","3.15","3.00","11.00","5.00","6.00","158","160","156","154","154","152","151","152","150","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"03374300","Florida Coastal School of Law","2019","993","","","501","","","86","","","1","87","87","0","3.36","3.36","","2.94","2.94","","2.66","2.66","","0.00","0.00","","151","151","","147","147","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"03559300","Appalachian School of Law","2019","445","","","252","","","55","","","6","61","61","0","3.40","3.40","","3.13","3.13","","2.64","2.64","","1.00","1.00","","149","149","","145","145","","143","143","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"03691400","Ave Maria School of Law","2019","602","","","327","","","107","","","2","109","109","0","3.50","3.50","","3.21","3.21","","2.87","2.87","","4.00","4.00","","152","152","","148","148","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"04096300","Charleston School of Law","2019","1355","","","792","","","215","","","4","219","219","0","3.39","3.39","","3.12","3.12","","2.75","2.75","","1.00","1.00","","151","151","","148","148","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"04242101","UNT Dallas College Of Law","2019","839","","","324","","","131","","","1","132","87","45","3.45","3.48","3.43","3.19","3.24","3.03","2.78","2.78","2.72","1.00","1.00","0.00","153","153","153","151","150","151","148","148","149","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
