"schoolid","schoolname","calendaryear","schooltype","termtype","ftrestuition","ptrestuition","ftnonrestuition","ptnonrestuition","ftrestermtuition","ptrestermtuition","ftnonrestermtuition","ptnonrestermtuition","ftrescredtuition","ptrescredtuition","ftnonrescredtuition","ptnonrescredtuition","tuitionguarind","oncampuscosts","offcampuscosts","athomecosts"
"00100300","Faulkner University","2019","PRI","SEM","39000","","39000","","19500","","19500","","","","","","N","","28000","28000"
"00103600","Samford University","2019","PRI","SEM","41338","","41338","","20669","","20669","","1360","","1360","","N","","17834","7034"
"00105100","University of Alabama","2019","PUB","SEM","23610","","43060","","11805","","21530","","","","","","N","19686","19686","19686"
"00108100","Arizona State University","2019","PUB","SEM","28058","","47302","","14029","","23651","","","","","","N","22714","22714","22714"
"00108300","University of Arizona","2019","PUB","SEM","25834","","30334","","12917","","15167","","","","","","N","21350","21350","8000"
"00110101","University of Arkansas-Little Rock","2019","PUB","SEM","16738","11692","32711","22322","8369","5846","16356","11161","445","445","976","976","N","15725","15980","9581"
"00110800","University of Arkansas-Fayetteville","2019","PUB","SEM","14970","","35605","","7485","","17803","","488","","1176","","N","17524","17524","17524"
"00116453","Chapman University","2019","PRI","SEM","54718","43922","54718","43922","27359","21961","27359","21961","","","","","","33849","33849","24489"
"00120529","Golden Gate University","2019","PRI","SEM","51000","37900","51000","37900","25500","","25500","","1700","1700","1700","1700","N","","29850",""
"00121601","University of La Verne","2019","PRI","SEM","32828","28498","32828","28498","16414","14249","16414","14249","","1180","","1180","Y","30812","30812","30812"
"00129500","Southwestern Law School","2019","PRI","SEM","55316","37294","55316","37294","27658","18647","27658","18647","","","","","N","26867","30755","15680"
"00130503","Stanford University","2019","PRI","QTR","62175","","62175","","20725","","20725","","","","","","N","36462","39177",""
"00131273","University of California-Berkeley","2019","PUB","SEM","52016","","55346","","26008","","27673","","","","","","N","31244","31244","31244"
"00131373","University of California-Davis","2019","PUB","SEM","49456","","58560","","24728","","29280","","","","","","N","23702","23702","23702"
"00131400","University of California-Irvine","2019","PUB","SEM","47486","","53550","","23743","","26775","","","","","","N","21717","32650","20649"
"00131500","University of California-Los Angeles","2019","PUB","SEM","47988","","54052","","23994","","27026","","","","","","N","29770","29770","19692"
"00132500","University of San Francisco","2019","PRI","SEM","50770","","50770","","25385","","25385","","","1755","","1755","N","29607","29537","14987"
"00132600","Santa Clara University","2019","PRI","SEM","52528","42364","52528","42364","26264","21182","26264","21182","1876","1876","1876","1876","N","28956","28956","28956"
"00132800","University of Southern California","2019","PRI","SEM","67192","","67192","","33596","","33596","","","","","","N","27072","27072","14922"
"00132901","McGeorge School of Law","2019","PRI","SEM","53864","36060","53864","36060","26932","18030","26932","18030","1802","1802","1802","1802","N","25566","25566","25566"
"00137000","University of Colorado","2019","PUB","SEM","31928","","38714","","15964","","19357","","","","","","N","20942","20546","10862"
"00137100","University of Denver","2019","PRI","SEM","52922","38838","52922","38838","26461","19419","26461","19419","1753","1753","1753","1753","N","19790","19790","19790"
"00140201","Quinnipiac University","2019","PRI","SEM","50440","35500","50440","35500","25220","17750","25220","17750","","1730","","1730","N","","22036","15222"
"00141706","University of Connecticut","2019","PUB","SEM","30354","22860","61396","44880","15177","11430","30698","22440","","","","","N","","19262",""
"00142600","Yale University","2019","PRI","SEM","66128","","66128","","33064","","33064","","","","","","N","22465","22465","22465"
"00143401","American University","2019","PRI","SEM","57836","40392","57836","40392","28918","20196","28918","20196","","2099","","2099","N","23754","23754","23754"
"00143711","Catholic University of America","2019","PRI","SEM","52660","36810","52660","36810","26330","18185","26330","18185","","1790","","1790","N","25634","31484","16246"
"00144102","District of Columbia","2019","PUB","SEM","14134","9240","26266","17440","7067","4620","13133","8720","","412","","822","N","","29200",""
"00144402","George Washington University","2019","PRI","SEM","62206","46725","62206","46725","31103","23363","31103","23363","2225","2225","2225","2225","N","30950","27550","27550"
"00144503","Georgetown University","2019","PRI","SEM","64548","","64548","","32274","","32274","","","2305","","2305","N","29952","29952","29952"
"00144802","Howard University","2019","PRI","SEM","35244","","35244","","17622","","17622","","1500","","1500","","N","33049","33049",""
"00146601","Barry University","2019","PRI","SEM","37430","28260","37430","28260","18715","14130","18715","14130","","","","","N","","27400","27400"
"00146800","St. Thomas University (Florida)","2019","PRI","SEM","42190","","42190","","21095","","21095","","","","","","N","29046","29490","15290"
"00148001","Florida A&M University","2019","PUB","SEM","13886","10029","33146","24154","6943","","16573","","456","456","1098","1098","N","","28296","17110"
"00148900","Florida State University","2019","PUB","SEM","20694","","40706","","10347","","20353","","","","","","N","16750","16750","6750"
"00150900","Nova Southeastern University","2019","PRI","SEM","44350","33896","44350","33896","22175","16948","22175","16948","","","","","N","","30439","13699"
"00153101","Stetson University","2019","PRI","SEM","44964","30398","44964","30398","22482","15199","22482","15199","","","","","N","17850","17850","10380"
"00153505","University of Florida","2019","PUB","SEM","21802","","38038","","10901","","19019","","","","","","N","17610","19390","6970"
"00153601","University of Miami","2019","PRI","SEM","54134","","54134","","27067","","27067","","1895","","1895","","N","","28682","15632"
"00156400","Emory University","2019","PRI","SEM","59062","","59062","","29531","","29531","","","","","","N","24748","24748","24748"
"00157400","Georgia State University","2019","PUB","SEM","18010","14068","37618","28774","9005","7034","18809","14387","","","","","N","18946","22991","10437"
"00158015","Mercer University","2019","PRI","SEM","39484","","39484","","19742","","19742","","","","","","N","19180","19180","19180"
"00159800","University of Georgia","2019","PUB","SEM","19894","","36362","","9947","","18181","","","","","","N","15880","18896","9624"
"00161000","University of Hawaii","2019","PUB","SEM","23936","17566","47360","35134","11968","8783","23680","17567","","933","","1909","Y","21214","21214","12142"
"00162600","University of Idaho","2019","PUB","SEM","22260","","41496","","11130","","20748","","","1237","","2306","N","16958","16958","6112"
"00167100","Depaul University","2019","PRI","SEM","48670","32116","48670","32116","24335","16058","24335","16058","","","","","N","23132","23132","23132"
"00169101","Chicago-Kent College of Law-IIT","2019","PRI","SEM","48140","36740","48140","36740","24070","18370","24070","18370","1660","1660","1660","1660","Y","22305","22305","22305"
"00169800","John Marshall Law School","2019","PRI","SEM","39308","","48308","","19654","","24154","","1200","1200","1500","1500","N","21650","21650","21650"
"00171000","Loyola University-Chicago","2019","PRI","SEM","50700","38004","50700","38004","25350","19002","25350","19002","1580","1580","1580","1580","N","24395","24395","24395"
"00173700","Northern Illinois University","2019","PUB","SEM","22170","","22170","","11085","","11085","","","","","","N","21962","21962","21962"
"00173900","Northwestern University","2019","PRI","SEM","66806","","66806","","33403","","33403","","","","","","N","23364","23364","23364"
"00175800","Southern Illinois University-Carbondale","2019","PUB","SEM","22764","","31516","","11382","","15758","","547","","820","","N","18363","18363","18363"
"00177400","University of Chicago","2019","PRI","QTR","67899","","67899","","22633","","22633","","","","","","N","29436","29436","29436"
"00177500","University of Illinois","2019","PUB","SEM","38146","","48146","","19073","","24073","","","","","","Y","20017","20017","19677"
"00180900","Indiana University - Bloomington","2019","PUB","SEM","36648","","56872","","18324","","28436","","","","","","Y","22268","22268","22268"
"00181300","Indiana University - Indianapolis","2019","PUB","SEM","29793","21504","99714","36552","14897","","49857","","","896","","1523","N","19930","19930","19930"
"00184000","University of Notre Dame","2019","PRI","SEM","60730","","60730","","30365","","30365","","","","","","N","20650","20650","20650"
"00186000","Drake University","2019","PRI","SEM","42512","","42512","","21256","","21256","","1462","","1462","","N","22527","22527","10515"
"00189200","University of Iowa","2019","PUB","SEM","26180","","45796","","13090","","22898","","","","","","N","15328","16544","8412"
"00194800","University of Kansas","2019","PUB","SEM","22769","","28804","","11385","","14402","","751","751","959","959","N","17184","17184","17184"
"00194900","Washburn University","2019","PUB","SEM","22661","","35334","","11330","","17667","","779","","1216","","N","17032","17032","17032"
"00198903","University of Kentucky","2019","PUB","SEM","24722","","50352","","12361","","25176","","","","","","N","18778","18778","8728"
"00199900","University of Louisville","2019","PUB","SEM","22534","","41944","","11267","","20972","","","","","","N","19930","19930","19930"
"00201000","Louisiana State University","2019","PUB","SEM","23670","","39110","","11835","","19555","","","","","","N","21720","23940","16958"
"00201600","Loyola University-New Orleans","2019","PRI","SEM","45156","34232","45156","34232","22578","17116","22578","17116","","1421","","1421","N","22866","22866","22866"
"00202500","Southern University","2019","PUB","SEM","19010","16962","31610","29562","9505","8481","15805","14781","","","","","N","21300","21300","21300"
"00202900","Tulane University","2019","PRI","SEM","58610","","58610","","29305","","29305","","","","","","N","23606","23606","8684"
"00205400","University of Maine","2019","PUB","SEM","23182","","34694","","11591","","17347","","773","","1156","","N","14956","14956","7600"
"00210200","University of Baltimore","2019","PUB","SEM","32850","24518","47958","33878","16425","12259","23979","16939","","","","","N","23500","23500","23500"
"00210400","University of Maryland","2019","PUB","SEM","32808","23460","48426","33626","16404","11730","24213","16813","","","","","N","23081","24610","15186"
"00212801","Boston College","2019","PRI","SEM","57150","","57150","","28575","","28575","","","","","","N","","22488",""
"00213007","Boston University","2019","PRI","SEM","56982","","56982","","28491","","28491","","","","","","N","20026","20026","14082"
"00215510","Harvard University","2019","PRI","SEM","67080","","67080","","33540","","33540","","","","","","N","32119","32119",""
"00219900","Northeastern University","2019","PRI","","52920","","52920","","26460","","26460","","","","","","N","19500","19500","7665"
"00221007","University of Massachusetts Dartmouth","2019","PUB","SEM","29460","23604","38368","28846","14730","11802","19184","14423","","1194","","1565","N","21622","26668","18434"
"00221810","Suffolk University","2019","PRI","SEM","50424","37812","50424","37812","25212","18906","25212","18906","","","","","N","","24585","16871"
"00222600","Western New England University","2019","PRI","SEM","43698","32344","43698","32344","21849","16172","21849","16172","","","","","N","20286","20286","9880"
"00225400","Michigan State University","2019","PRI","SEM","45676","","45676","","22838","","22838","","","1555","","1555","N","18982","18982","18982"
"00232300","University of Detroit Mercy","2019","PRI","SEM","35832","27384","35832","27384","17916","13692","17916","13692","1493","1493","1493","1493","N","","25706","18558"
"00232503","University of Michigan","2019","PUB","SEM","61944","","64944","","30972","","32472","","","","","","N","20920","20920","20920"
"00232902","Wayne State University","2019","PUB","SEM","33934","18392","37008","20032","16967","9196","18504","10016","1056","1056","1158","1158","N","22527","22527","9612"
"00234500","University of St. Thomas (Minnesota)","2019","PRI","SEM","42738","","42738","","21369","","21369","","","","","","N","","21000","21000"
"00239101","Mitchell Hamline School of Law","2019","PRI","SEM","45806","33326","45806","33326","22903","16663","22903","16663","","","","","N","19450","19450","19450"
"00241501","Mississippi College","2019","PRI","SEM","35520","","35520","","17760","","17760","","1160","","1160","","Y","23025","23025","23025"
"00244000","University of Mississippi","2019","PUB","SEM","16970","","37036","","8485","","18518","","844","844","1847","1847","N","18870","18870","18870"
"00250609","Saint Louis University","2019","PRI","SEM","42540","31430","42540","31430","21270","15715","21270","15715","","","","","N","21244","21244","18264"
"00251600","University of Missouri","2019","PUB","SEM","22468","","41109","","11234","","20555","","674","","1283","","N","17284","17284","17284"
"00251800","University of Missouri-Kansas City","2019","PUB","SEM","20257","","38215","","10129","","19108","","615","615","1213","1213","N","16046","15574","11496"
"00252000","Washington University","2019","PRI","SEM","59460","","59460","","29730","","29730","","","","","","N","","24194",""
"00253600","University of Montana","2019","PUB","SEM","14014","","34546","","7007","","17273","","","","","","N","16984","16984","16984"
"00254200","Creighton University","2019","PRI","SEM","41494","","41494","","20747","","20747","","","","","","N","","24505",""
"00256500","University of Nebraska","2019","PUB","SEM","17608","","41332","","8804","","20666","","395","395","1054","1054","N","18948","17910","11358"
"00256900","University of Nevada - Las Vegas","2019","PUB","SEM","27044","","38944","","13522","","19472","","","926","","1350","N","18160","24874","13422"
"00258903","University of New Hampshire","2019","PUB","SEM","38000","","44000","","19000","","22000","","","1341","","1553","N","20915","20915","11415"
"00262900","Rutgers University","2019","PUB","SEM","25804","24509","39114","36143","12902","12254","19557","18071","","1076","","1630","N","19700","27924","13476"
"00263201","Seton Hall University","2019","PRI","SEM","54848","42076","54848","42076","27424","21038","27424","21038","","","","","N","","22562","11113"
"00266300","University of New Mexico","2019","PUB","SEM","17714","","38242","","8857","","19121","","569","","1253","","N","17070","17070","10314"
"00267700","Brooklyn Law School","2019","PRI","SEM","62021","46608","62021","46608","31010","23304","31010","23304","1993","1993","1993","1993","Y","26675","26675","10475"
"00270711","Columbia University","2019","PRI","SEM","72360","","72360","","36180","","36180","","3494","","3494","","N","25447","25447","7022"
"00271101","Cornell University","2019","PRI","SEM","67748","","67748","","33874","","33874","","","","","","N","23524","23524","23524"
"00272203","Fordham University","2019","PRI","SEM","62652","47120","62652","47120","31326","23560","31326","23560","","","","","N","28586","28586","28586"
"00273200","Hofstra University","2019","PRI","SEM","60970","45670","60970","45670","30485","22835","30485","22835","2140","2140","2140","2140","N","26791","28893","8710"
"00278300","New York Law School","2019","PRI","SEM","54382","41792","54382","41792","27191","20896","27191","20896","","","","","N","29645","23759","10719"
"00278500","New York University","2019","PRI","SEM","68934","","68934","","34467","","34467","","","","","","N","30924","30924","30924"
"00279102","Pace University","2019","PRI","SEM","49458","37086","49458","37086","24729","18543","24729","18543","","1678","","1678","N","20354","25302","8504"
"00282300","St. John's University","2019","PRI","SEM","61550","46270","61550","46270","30775","23135","30775","23135","2184","2184","2184","2184","N","27447","24267","9642"
"00283700","University of Buffalo-SUNY","2019","PUB","SEM","28280","","32370","","14140","","16185","","1059","","1229","","N","18464","18464","18464"
"00288200","Syracuse University","2019","PRI","SEM","53638","","53638","","26819","","26819","","","2260","","2260","N","22262","20362","6406"
"00288600","Albany Law School of Union University","2019","PRI","SEM","49624","37408","49624","37408","24812","18704","24812","18704","","","","","N","","16338","8338"
"00290301","Cardozo School of Law","2019","PRI","SEM","61738","41606","61738","41606","30869","20802","30869","20802","","","","","N","28664","28664","28664"
"00291300","Campbell University","2019","PRI","SEM","43370","","43370","","21685","","21685","","","","","","N","26620","26620","17520"
"00292002","Duke University","2019","PRI","SEM","67398","","67398","","33699","","33699","","","","","","N","","22905",""
"00292701","Elon University","2019","PRI","TRI","46140","","46140","","15380","","15380","","","","","","Y","","29100","29100"
"00295000","North Carolina Central University","2019","PUB","SEM","18822","18822","41494","41494","9411","9411","20747","20747","","","","","N","16163","20337","11758"
"00297400","University of North Carolina","2019","PUB","SEM","24480","","41626","","12240","","20813","","","","","","N","25368","25368","10176"
"00297805","Wake Forest University","2019","PRI","SEM","47352","","47352","","23676","","23676","","","","","","N","","21208",""
"00300500","University of North Dakota","2019","PUB","SEM","15617","","42835","","","","","","440","","1318","","N","9444","9444","9444"
"00302302","Capital University","2019","PRI","SEM","37700","33910","37700","33910","18850","16955","18850","16955","1300","1300","1300","1300","N","18504","18504","18504"
"00302400","Case Western Reserve University","2019","PRI","SEM","53500","","53500","","26750","","26750","","2230","","2230","","N","25244","25244","25244"
"00303200","Cleveland State University","2019","PUB","SEM","27754","","27854","","13877","","13927","","","1067","","1071","N","19988","19988","19988"
"00308900","Ohio Northern University","2019","PRI","SEM","30200","","30200","","15100","","15100","","","","","","N","20581","15728","15728"
"00309000","Ohio State University","2019","PUB","SEM","31450","","46402","","15725","","23201","","1912","","1912","","N","20144","20144","20144"
"00312300","University of Akron","2019","PUB","SEM","24214","16566","24314","16666","12107","8283","12157","8333","712","712","712","712","N","22404","22404","7038"
"00312500","University of Cincinnati","2019","PUB","SEM","24010","","29010","","12005","","14505","","","","","","N","17768","17768","17768"
"00312700","University of Dayton","2019","PRI","SEM","35421","22060","35421","22060","17711","11030","17711","11030","1207","1500","1207","1500","N","17500","17500","17500"
"00313100","University of Toledo","2019","PUB","SEM","22948","18054","33916","25680","11474","9027","16958","12840","","839","","1296","N","18136","18246","8956"
"00316614","Oklahoma City University","2019","PRI","SEM","35630","","35630","","17815","","17815","","1065","","1065","","N","14340","14340","14340"
"00318400","University of Oklahoma","2019","PUB","SEM","21504","","33338","","10752","","16669","","524","","919","","N","22500","22500","19026"
"00318500","University of Tulsa","2019","PRI","SEM","26028","","26028","","13014","","13014","","","","","","N","22380","21150","12730"
"00319100","Concordia Law School","2019","PRI","SEM","30343","24493","30343","24493","","","","","975","975","975","975","N","","16034","16304"
"00319700","Lewis and Clark College","2019","PRI","SEM","48222","36176","48222","36176","24111","18088","24111","18088","","","","","N","28100","28100","28100"
"00322300","University of Oregon","2019","PUB","SEM","37886","","47102","","18943","","23551","","","","","","N","16776","16776","7515"
"00322700","Willamette University","2019","PRI","SEM","45920","","45920","","22960","","22960","","","1751","","1751","N","19898","19898","19898"
"00325600","Drexel University","2019","PRI","SEM","45080","","45080","","22540","","22540","","1540","","1540","","N","23576","23474","12196"
"00325800","Duquesne University","2019","PRI","SEM","47080","36402","47080","36402","23540","18201","23540","18201","","","","","N","16788","16788","5200"
"00331301","Widener University-Delaware","2019","PRI","SEM","52180","39180","52180","39180","26090","19590","26090","19590","","1625","","1625","N","22069","22069","14059"
"00331302","Widener Commonwealth","2019","PRI","SEM","47250","34742","47250","34742","23625","17371","23625","17371","","1571","","1571","N","","22308","14658"
"00332900","Pennsylvania State University-Penn State Law","2019","PUB","SEM","50980","","50980","","25490","","25490","","2079","","2079","","N","23768","23768","7744"
"00332923","Pennsylvania State University-Dickinson School of Law","2019","PUB","SEM","52526","","52526","","26263","","26263","","","","","","N","21276","21276","7946"
"00337101","Temple University","2019","PUB","SEM","28114","22151","42488","33659","14057","11075","21244","16829","1043","1043","1672","1672","N","22482","22482","13482"
"00337800","University of Pennsylvania","2019","PRI","SEM","67998","","67998","","33999","","33999","","","","","","N","26340","26340",""
"00337900","University of Pittsburgh","2019","PUB","SEM","34962","","44996","","17481","","22498","","","1318","","1971","N","19142","19142","19142"
"00338801","Villanova University","2019","PRI","SEM","47916","","47916","","23958","","23958","","1974","","1974","","Y","","22732","11482"
"00341001","Roger Williams University","2019","PRI","SEM","38604","","38604","","19302","","19302","","","","","","Y","17500","17500","17500"
"00344800","University of South Carolina","2019","PUB","SEM","24472","","55480","","12236","","27740","","","","","","N","19421","19421","10171"
"00347400","University of South Dakota","2019","PUB","SEM","17000","11141","45040","21456","8500","5570","22520","10728","","","","","N","13989","15924","7365"
"00347900","Belmont University","2019","PRI","SEM","46220","","46220","","23110","","23110","","","","","","N","26425","26425","26425"
"00350200","Lincoln Memorial University","2019","PRI","SEM","37500","22700","37500","22700","18750","11350","18750","11350","1250","1250","1250","1250","N","21850","21850","21850"
"00350900","University of Memphis","2019","PUB","SEM","19218","16362","31976","19512","9609","8181","15988","9756","821","821","996","996","N","18579","18579","11954"
"00353000","University of Tennessee","2019","PUB","SEM","20168","","38842","","10084","","19421","","","","","","N","20492","20492","11500"
"00353500","Vanderbilt University","2019","PRI","SEM","60750","","60750","","30375","","30375","","2978","","2978","","N","26504","26504","26504"
"00354500","Baylor University","2019","PRI","QTR","64944","","64944","","21648","","21648","","1471","1471","1471","1471","N","19010","20334","9384"
"00361300","Southern Methodist University","2019","PRI","SEM","55808","41854","55808","41854","27904","20927","27904","20927","","","","","N","29370","26100","9570"
"00362300","St. Mary's University","2019","PRI","SEM","38510","25600","38510","25600","19255","12800","19255","12800","","","","","N","20064","20064","20064"
"00364200","Texas Southern University","2019","PUB","SEM","20418","","27618","","10209","","13809","","1075","","1315","","N","","20818",""
"00364400","Texas Tech University","2019","PUB","SEM","26904","","38664","","13452","","19332","","753","","1145","","N","15392","15392","15392"
"00364500","Texas A&M University","2019","PUB","SEM","31256","24314","39250","28532","15628","12157","19625","14266","","","","","N","29784","29784","18102"
"00365200","University of Houston","2019","PUB","SEM","33180","22800","48432","33134","16590","11400","24216","16567","897","897","1389","1389","N","18576","19970","12898"
"00365800","University of Texas at Austin","2019","PUB","SEM","36428","","54096","","18214","","27048","","","","","","N","20936","20936","11756"
"00367000","Brigham Young University","2019","PRI","SEM","13450","","26900","","6725","","13450","","792","","1584","","N","21912","21912","10416"
"00367500","University of Utah","2019","PUB","SEM","29244","15076","38178","19544","14622","7538","19089","9772","","","","","N","20820","20820","15348"
"00370500","William and Mary Law School","2019","PUB","SEM","35000","","44000","","17500","","22000","","","","","","N","20722","20722","20722"
"00374400","University of Richmond","2019","PRI","SEM","46400","","46400","","23200","","23200","","","","","","N","18460","17750","6560"
"00374500","University of Virginia","2019","PUB","SEM","63200","","66200","","31600","","33100","","","","","","N","19786","19786","19786"
"00374900","George Mason University","2019","PUB","SEM","25356","20826","40742","33465","12678","","20371","","","811","","1360","N","27466","27466","12416"
"00376800","Washington and Lee University","2019","PRI","SEM","49541","","49541","","24771","","24771","","","","","","N","19125","19125","19125"
"00377800","Gonzaga University","2019","PRI","SEM","42705","","42705","","21353","","21353","","1418","","1418","","N","20737","20737","20737"
"00379001","Seattle University","2019","PRI","SEM","48330","30774","48330","30774","24165","15387","24165","15387","1611","1611","1611","1611","N","27154","27154","12619"
"00379800","University of Washington","2019","PUB","QTR","37050","","48588","","12350","","16196","","","","","","N","21492","21492","9198"
"00382700","West Virginia University","2019","PUB","SEM","24228","","40248","","12114","","20124","","1273","","2163","","N","15370","15370","15370"
"00386300","Marquette University","2019","PRI","SEM","47550","","47550","","23775","","23775","","","1880","","1880","N","19400","19400","19400"
"00389500","University of Wisconsin","2019","PUB","SEM","25688","","44384","","12844","","22192","","","1118","","1897","N","21745","21745","11117"
"00393200","University of Wyoming","2019","PUB","SEM","16775","","33520","","8388","","16760","","464","","990","","N","17060","17060","17060"
"00393600","Pontifical Catholic University of P.R.","2019","PRI","SEM","16696","12696","16696","12696","8348","6348","8348","6348","500","500","500","500","N","14274","19206","11829"
"00393801","Inter American University of Puerto Rico","2019","PRI","SEM","","","","","","","","","485","485","485","485","Y","","21956","20133"
"00394200","University of Puerto Rico","2019","PUB","SEM","7900","3900","22900","10900","3950","1950","11450","5450","250","250","750","750","N","14021","19306","13581"
"00394700","University of California-Hastings","2019","PUB","SEM","44480","","50480","","22240","","25240","","","","","","N","26508","26508","26508"
"00396900","University of Minnesota","2019","PUB","SEM","45808","","54664","","22904","","27332","","","1821","","2190","N","18870","18870","18870"
"00497700","South Texas College of Law","2019","PRI","SEM","34050","22900","34050","22900","17025","11450","17025","11450","1115","1115","1115","1115","N","","21900","15016"
"00891600","New England Law | Boston","2019","PRI","SEM","51048","38328","51048","38328","25524","19164","25524","19164","","","","","N","","24891","15781"
"00927500","Northern Kentucky University","2019","PUB","SEM","21346","19400","34528","30554","10673","9700","17264","15277","821","821","1328","1328","N","13412","14020","14020"
"00963500","Florida International University","2019","PUB","SEM","21820","14900","34899","24549","10910","","17450","","691","691","1150","1150","Y","17862","27086","14814"
"01014205","Touro College","2019","PRI","SEM","51280","38320","51280","38320","25640","19160","25640","19160","","","","","N","","24602","24602"
"01014913","Pepperdine University","2019","PRI","SEM","57500","","57500","","28750","","28750","","2115","2115","2115","2115","N","27800","27800","27800"
"01039501","University of San Diego","2019","PRI","SEM","57192","42021","57192","42021","28596","21010","28596","21010","1940","1940","1940","1940","N","25355","25355","16247"
"01085400","Thomas Jefferson School of Law","2019","PRI","SEM","52800","40050","52800","40050","26400","20025","26400","20025","1850","1850","1850","1850","N","","26660","15130"
"01164901","Loyola Marymount University-Los Angeles","2019","PRI","SEM","58470","39702","58470","39702","29235","19851","29235","19851","2090","2090","2090","2090","N","","32800","18600"
"01193400","Vermont Law School","2019","PRI","SEM","48834","","48834","","24417","","24417","","","","","","N","","26184","26184"
"01262700","Western Michigan University","2019","PRI","SEM","63080","31540","63080","31540","31540","15770","31540","15770","1750","1750","1750","1750","N","","18314","18314"
"01310300","California Western School of Law","2019","PRI","TRI","54310","40550","54310","40550","27155","20275","27155","20275","","","","","N","","25520","13800"
"02053000","Liberty University","2019","PRI","SEM","37922","","37922","","18961","","18961","","","","","","N","","24634","17698"
"02179937","Western State College of Law","2019","PRI","SEM","43350","29150","43350","29150","21675","14575","21675","14575","","","","","N","","33776","20342"
"03091300","Regent University","2019","PRI","SEM","40520","28660","40520","28660","20260","14330","20260","14330","1200","1200","1200","1200","N","24580","24580","24580"
"03173300","Atlanta's John Marshall Law School","2019","PRI","SEM","44830","27180","44830","27180","22415","13590","22415","13590","1470","1470","1470","1470","N","","29271","29271"
"03191300","City University of New York","2019","PUB","SEM","16014","10958","26204","17978","8007","5479","13102","8989","655","655","1065","1065","N","","22562","10038"
"03374300","Florida Coastal School of Law","2019","PRI","SEM","39790","38212","39790","38212","19895","19106","19895","19106","","","","","N","","23122","23122"
"03559300","Appalachian School of Law","2019","PRI","SEM","35500","","35500","","17750","","17750","","","1460","","1460","Y","","19800",""
"03691400","Ave Maria School of Law","2019","PRI","SEM","43206","","43206","","21603","","21603","","","1998","","1998","N","23834","23834","23834"
"04096300","Charleston School of Law","2019","PRI","SEM","42134","34058","42134","34058","21067","17029","21067","17029","","","","","Y","","23946","23946"
"04242101","UNT Dallas College Of Law","2019","PUB","SEM","20968","12668","34230","21510","10484","6334","17115","10755","1253","1253","1695","1695","Y","","24524","15328"
