"schoolid","schoolname","calendaryear","transin","transout","transout1l","transjd1gpa75","transjd1gpa50","transjd1gpa25"
"00100300","Faulkner University","2019","2","","2","0.00","0.00","0.00"
"00103600","Samford University","2019","0","","9","0.00","0.00","0.00"
"00105100","University of Alabama","2019","8","","1","0.00","3.48","0.00"
"00108100","Arizona State University","2019","22","","4","3.35","3.29","3.11"
"00108300","University of Arizona","2019","0","","0","0.00","0.00","0.00"
"00110101","University of Arkansas-Little Rock","2019","3","","5","0.00","0.00","0.00"
"00110800","University of Arkansas-Fayetteville","2019","3","","3","0.00","0.00","0.00"
"00116453","Chapman University","2019","9","","4","0.00","3.23","0.00"
"00120529","Golden Gate University","2019","3","","31","0.00","0.00","0.00"
"00121601","University of La Verne","2019","0","","2","0.00","0.00","0.00"
"00129500","Southwestern Law School","2019","8","","11","0.00","3.11","0.00"
"00130503","Stanford University","2019","6","","0","0.00","3.89","0.00"
"00131273","University of California-Berkeley","2019","24","","0","3.97","3.77","3.71"
"00131373","University of California-Davis","2019","7","","8","0.00","3.45","0.00"
"00131400","University of California-Irvine","2019","2","","14","0.00","0.00","0.00"
"00131500","University of California-Los Angeles","2019","34","","4","3.76","3.63","3.56"
"00132500","University of San Francisco","2019","4","","6","0.00","0.00","0.00"
"00132600","Santa Clara University","2019","3","","9","0.00","0.00","0.00"
"00132800","University of Southern California","2019","7","","2","0.00","3.46","0.00"
"00132901","McGeorge School of Law","2019","6","","1","0.00","2.99","0.00"
"00137000","University of Colorado","2019","0","","4","0.00","0.00","0.00"
"00137100","University of Denver","2019","5","","4","0.00","0.00","0.00"
"00140201","Quinnipiac University","2019","0","","2","0.00","0.00","0.00"
"00141706","University of Connecticut","2019","1","","3","0.00","0.00","0.00"
"00142600","Yale University","2019","15","","0","3.95","3.90","3.86"
"00143401","American University","2019","2","","49","0.00","0.00","0.00"
"00143711","Catholic University of America","2019","1","","17","0.00","0.00","0.00"
"00144102","District of Columbia","2019","1","","5","0.00","0.00","0.00"
"00144402","George Washington University","2019","74","","34","3.41","3.23","3.11"
"00144503","Georgetown University","2019","105","","5","3.77","3.67","3.56"
"00144802","Howard University","2019","0","","4","0.00","0.00","0.00"
"00146601","Barry University","2019","1","","25","0.00","0.00","0.00"
"00146800","St. Thomas University (Florida)","2019","5","","14","0.00","0.00","0.00"
"00148001","Florida A&M University","2019","0","","13","0.00","0.00","0.00"
"00148900","Florida State University","2019","13","","9","3.53","3.13","3.00"
"00150900","Nova Southeastern University","2019","8","","8","0.00","2.87","0.00"
"00153101","Stetson University","2019","5","","7","0.00","0.00","0.00"
"00153505","University of Florida","2019","40","","3","3.52","3.27","3.13"
"00153601","University of Miami","2019","20","","9","3.29","3.16","3.05"
"00156400","Emory University","2019","16","","15","3.41","3.30","3.00"
"00157400","Georgia State University","2019","9","","2","0.00","3.08","0.00"
"00158015","Mercer University","2019","0","","7","0.00","0.00","0.00"
"00159800","University of Georgia","2019","2","","1","0.00","0.00","0.00"
"00161000","University of Hawaii","2019","3","","1","0.00","0.00","0.00"
"00162600","University of Idaho","2019","1","","4","0.00","0.00","0.00"
"00167100","Depaul University","2019","1","","18","0.00","0.00","0.00"
"00169101","Chicago-Kent College of Law-IIT","2019","4","","5","0.00","0.00","0.00"
"00169800","John Marshall Law School","2019","2","","1","0.00","0.00","0.00"
"00171000","Loyola University-Chicago","2019","0","","16","0.00","0.00","0.00"
"00173700","Northern Illinois University","2019","2","","3","0.00","0.00","0.00"
"00173900","Northwestern University","2019","34","","3","3.76","3.63","3.48"
"00175800","Southern Illinois University-Carbondale","2019","0","","4","0.00","0.00","0.00"
"00177400","University of Chicago","2019","27","","3","3.84","3.74","3.69"
"00177500","University of Illinois","2019","2","","4","0.00","0.00","0.00"
"00180900","Indiana University - Bloomington","2019","1","","5","0.00","0.00","0.00"
"00181300","Indiana University - Indianapolis","2019","7","","4","0.00","2.97","0.00"
"00184000","University of Notre Dame","2019","2","","4","0.00","0.00","0.00"
"00186000","Drake University","2019","1","","1","0.00","0.00","0.00"
"00189200","University of Iowa","2019","1","","1","0.00","0.00","0.00"
"00194800","University of Kansas","2019","3","","0","0.00","0.00","0.00"
"00194900","Washburn University","2019","2","","2","0.00","0.00","0.00"
"00198903","University of Kentucky","2019","1","","1","0.00","0.00","0.00"
"00199900","University of Louisville","2019","0","","4","0.00","0.00","0.00"
"00201000","Louisiana State University","2019","0","","4","0.00","0.00","0.00"
"00201600","Loyola University-New Orleans","2019","3","","2","0.00","0.00","0.00"
"00202500","Southern University","2019","0","","8","0.00","0.00","0.00"
"00202900","Tulane University","2019","3","","11","0.00","0.00","0.00"
"00205400","University of Maine","2019","1","","2","0.00","0.00","0.00"
"00210200","University of Baltimore","2019","4","","8","0.00","0.00","0.00"
"00210400","University of Maryland","2019","7","","13","0.00","3.31","0.00"
"00212801","Boston College","2019","9","","1","0.00","3.47","0.00"
"00213007","Boston University","2019","2","","5","0.00","0.00","0.00"
"00215510","Harvard University","2019","43","","1","4.02","3.95","3.89"
"00219900","Northeastern University","2019","6","","0","0.00","3.32","0.00"
"00221007","University of Massachusetts Dartmouth","2019","0","","1","0.00","0.00","0.00"
"00221810","Suffolk University","2019","3","","8","0.00","0.00","0.00"
"00222600","Western New England University","2019","1","","7","0.00","0.00","0.00"
"00225400","Michigan State University","2019","2","","10","0.00","0.00","0.00"
"00232300","University of Detroit Mercy","2019","0","","11","0.00","0.00","0.00"
"00232503","University of Michigan","2019","14","","1","3.90","3.85","3.74"
"00232902","Wayne State University","2019","6","","4","0.00","3.02","0.00"
"00234500","University of St. Thomas (Minnesota)","2019","1","","3","0.00","0.00","0.00"
"00239101","Mitchell Hamline School of Law","2019","10","","5","0.00","149.00","0.00"
"00241501","Mississippi College","2019","0","","6","0.00","0.00","0.00"
"00244000","University of Mississippi","2019","7","","2","0.00","3.00","0.00"
"00250609","Saint Louis University","2019","5","","3","0.00","0.00","0.00"
"00251600","University of Missouri","2019","3","","1","0.00","0.00","0.00"
"00251800","University of Missouri-Kansas City","2019","7","","0","0.00","3.05","0.00"
"00252000","Washington University","2019","11","","10","0.00","3.29","0.00"
"00253600","University of Montana","2019","0","","2","0.00","0.00","0.00"
"00254200","Creighton University","2019","0","","3","0.00","0.00","0.00"
"00256500","University of Nebraska","2019","2","","3","0.00","0.00","0.00"
"00256900","University of Nevada - Las Vegas","2019","24","","2","2.80","2.95","3.19"
"00258903","University of New Hampshire","2019","4","","1","0.00","0.00","0.00"
"00262900","Rutgers University","2019","21","","12","3.33","3.12","2.96"
"00263201","Seton Hall University","2019","10","","8","0.00","2.99","0.00"
"00266300","University of New Mexico","2019","3","","1","0.00","0.00","0.00"
"00267700","Brooklyn Law School","2019","5","","17","0.00","0.00","0.00"
"00270711","Columbia University","2019","44","","1","3.87","3.82","3.78"
"00271101","Cornell University","2019","10","","7","0.00","3.42","0.00"
"00272203","Fordham University","2019","21","","19","3.32","3.38","3.55"
"00273200","Hofstra University","2019","26","","7","3.06","2.78","2.73"
"00278300","New York Law School","2019","2","","9","0.00","0.00","0.00"
"00278500","New York University","2019","51","","5","3.76","3.68","3.61"
"00279102","Pace University","2019","7","","4","0.00","3.02","0.00"
"00282300","St. John's University","2019","10","","0","0.00","3.45","0.00"
"00283700","University of Buffalo-SUNY","2019","1","","8","0.00","0.00","0.00"
"00288200","Syracuse University","2019","5","","6","0.00","2.97","0.00"
"00288600","Albany Law School of Union University","2019","0","","0","0.00","0.00","0.00"
"00290301","Cardozo School of Law","2019","8","","5","0.00","3.35","0.00"
"00291300","Campbell University","2019","1","","0","0.00","0.00","0.00"
"00292002","Duke University","2019","5","","0","0.00","0.00","0.00"
"00292701","Elon University","2019","0","","1","0.00","0.00","0.00"
"00295000","North Carolina Central University","2019","2","","1","0.00","0.00","0.00"
"00297400","University of North Carolina","2019","6","","3","0.00","3.53","0.00"
"00297805","Wake Forest University","2019","0","","1","0.00","0.00","0.00"
"00300500","University of North Dakota","2019","5","","0","0.00","2.82","0.00"
"00302302","Capital University","2019","1","","3","0.00","0.00","0.00"
"00302400","Case Western Reserve University","2019","0","","3","0.00","0.00","0.00"
"00303200","Cleveland State University","2019","6","","0","0.00","3.26","0.00"
"00308900","Ohio Northern University","2019","2","","0","0.00","0.00","0.00"
"00309000","Ohio State University","2019","1","","5","0.00","0.00","0.00"
"00312300","University of Akron","2019","2","","3","0.00","0.00","0.00"
"00312500","University of Cincinnati","2019","2","","2","0.00","0.00","0.00"
"00312700","University of Dayton","2019","0","","3","0.00","0.00","0.00"
"00313100","University of Toledo","2019","1","","2","0.00","0.00","0.00"
"00316614","Oklahoma City University","2019","2","","4","0.00","0.00","0.00"
"00318400","University of Oklahoma","2019","3","","1","0.00","0.00","0.00"
"00318500","University of Tulsa","2019","1","","0","0.00","0.00","0.00"
"00319100","Concordia Law School","2019","1","","1","0.00","0.00","0.00"
"00319700","Lewis and Clark College","2019","12","","3","3.54","3.16","2.69"
"00322300","University of Oregon","2019","3","","1","0.00","0.00","0.00"
"00322700","Willamette University","2019","1","","5","0.00","0.00","0.00"
"00325600","Drexel University","2019","1","","5","0.00","0.00","0.00"
"00325800","Duquesne University","2019","0","","0","0.00","0.00","0.00"
"00331301","Widener University-Delaware","2019","0","","13","0.00","0.00","0.00"
"00331302","Widener Commonwealth","2019","2","","7","0.00","0.00","0.00"
"00332900","Pennsylvania State University-Penn State Law","2019","0","","0","0.00","0.00","0.00"
"00332923","Pennsylvania State University-Dickinson School of Law","2019","4","","2","0.00","0.00","0.00"
"00337101","Temple University","2019","12","","2","3.41","3.17","3.04"
"00337800","University of Pennsylvania","2019","11","","1","0.00","3.69","0.00"
"00337900","University of Pittsburgh","2019","5","","2","0.00","0.00","0.00"
"00338801","Villanova University","2019","1","","4","0.00","0.00","0.00"
"00341001","Roger Williams University","2019","2","","2","0.00","0.00","0.00"
"00344800","University of South Carolina","2019","3","","3","0.00","0.00","0.00"
"00347400","University of South Dakota","2019","0","","1","0.00","0.00","0.00"
"00347900","Belmont University","2019","0","","1","0.00","0.00","0.00"
"00350200","Lincoln Memorial University","2019","1","","0","0.00","0.00","0.00"
"00350900","University of Memphis","2019","6","","3","0.00","3.06","0.00"
"00353000","University of Tennessee","2019","4","","0","0.00","0.00","0.00"
"00353500","Vanderbilt University","2019","13","","2","3.69","3.55","3.43"
"00354500","Baylor University","2019","0","","0","0.00","0.00","0.00"
"00361300","Southern Methodist University","2019","9","","2","0.00","3.15","0.00"
"00362300","St. Mary's University","2019","2","","3","0.00","0.00","0.00"
"00364200","Texas Southern University","2019","1","","5","0.00","0.00","0.00"
"00364400","Texas Tech University","2019","1","","3","0.00","0.00","0.00"
"00364500","Texas A&M University","2019","5","","1","0.00","0.00","0.00"
"00365200","University of Houston","2019","11","","0","0.00","3.51","0.00"
"00365800","University of Texas at Austin","2019","8","","4","0.00","3.70","0.00"
"00367000","Brigham Young University","2019","3","","1","0.00","0.00","0.00"
"00367500","University of Utah","2019","4","","5","0.00","0.00","0.00"
"00370500","William and Mary Law School","2019","0","","11","0.00","0.00","0.00"
"00374400","University of Richmond","2019","4","","11","0.00","0.00","0.00"
"00374500","University of Virginia","2019","0","","1","0.00","0.00","0.00"
"00374900","George Mason University","2019","6","","9","0.00","3.22","0.00"
"00376800","Washington and Lee University","2019","0","","7","0.00","0.00","0.00"
"00377800","Gonzaga University","2019","1","","4","0.00","0.00","0.00"
"00379001","Seattle University","2019","9","","10","0.00","2.97","0.00"
"00379800","University of Washington","2019","6","","6","0.00","3.63","0.00"
"00382700","West Virginia University","2019","3","","4","0.00","0.00","0.00"
"00386300","Marquette University","2019","1","","1","0.00","0.00","0.00"
"00389500","University of Wisconsin","2019","8","","6","0.00","3.50","0.00"
"00393200","University of Wyoming","2019","0","","1","0.00","0.00","0.00"
"00393600","Pontifical Catholic University of P.R.","2019","0","","1","0.00","0.00","0.00"
"00393801","Inter American University of Puerto Rico","2019","2","","3","0.00","0.00","0.00"
"00394200","University of Puerto Rico","2019","4","","0","0.00","0.00","0.00"
"00394700","University of California-Hastings","2019","3","","20","0.00","0.00","0.00"
"00396900","University of Minnesota","2019","4","","4","0.00","0.00","0.00"
"00497700","South Texas College of Law","2019","1","","8","0.00","0.00","0.00"
"00891600","New England Law | Boston","2019","2","","9","0.00","0.00","0.00"
"00927500","Northern Kentucky University","2019","0","","3","0.00","0.00","0.00"
"00963500","Florida International University","2019","16","","0","3.38","3.16","3.06"
"01014205","Touro College","2019","3","","24","0.00","0.00","0.00"
"01014913","Pepperdine University","2019","14","","8","3.36","3.25","3.07"
"01039501","University of San Diego","2019","11","","7","0.00","3.46","0.00"
"01085400","Thomas Jefferson School of Law","2019","1","","6","0.00","0.00","0.00"
"01164901","Loyola Marymount University-Los Angeles","2019","41","","12","3.39","3.20","3.11"
"01193400","Vermont Law School","2019","2","","10","0.00","0.00","0.00"
"01262700","Western Michigan University","2019","2","","27","0.00","0.00","0.00"
"01310300","California Western School of Law","2019","2","","9","0.00","0.00","0.00"
"02053000","Liberty University","2019","1","","1","0.00","0.00","0.00"
"02179937","Western State College of Law","2019","1","","40","0.00","0.00","0.00"
"03091300","Regent University","2019","2","","2","0.00","0.00","0.00"
"03173300","Atlanta's John Marshall Law School","2019","0","","4","0.00","0.00","0.00"
"03191300","City University of New York","2019","2","","3","0.00","0.00","0.00"
"03374300","Florida Coastal School of Law","2019","0","","7","0.00","0.00","0.00"
"03559300","Appalachian School of Law","2019","1","","1","0.00","0.00","0.00"
"03691400","Ave Maria School of Law","2019","0","","8","0.00","0.00","0.00"
"04096300","Charleston School of Law","2019","4","","11","0.00","0.00","0.00"
"04242101","UNT Dallas College Of Law","2019","0","","3","0.00","0.00","0.00"
